brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
Volkswagen,Tiguan 2.0T SE,2021.0,23625.0,2.0,8,1.0,Gasoline,Front-wheel Drive,4.5,0.0,1.0,1.0,1.0,1.0,9.0,Black,Pure White,25993
Volkswagen,Golf GTI 2.0T S 4-Door,2018.0,34910.0,2.0,Automatic,1.0,Gasoline,Front-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,7.0,Titan Black,Night Blue Metallic,26499
Jaguar,XF 20d R-Sport,2018.0,111044.0,2.0,8,1.0,Diesel,Rear-wheel Drive,5.0,1.0,0.0,1.0,1.0,1.0,6.0,Brogue / Ebony,Loire Blue,20980
Chevrolet,Tahoe LT,2013.0,104571.0,5.3,6,1.0,Gasoline,Four-wheel Drive,3.0,1.0,0.0,0.0,0.0,1.0,7.0,Ebony,Champagne Silver,17995
Toyota,Prius XLE,2020.0,29153.0,1.8,CVT,1.0,Hybrid,Four-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,11.0,Moonstone,Classic Silver Metallic,29159
Porsche,Macan Base,2019.0,15046.0,2.0,7,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,1.0,1.0,7.0,Black,Sapphire Blue Metallic,45431
Porsche,Panamera S,2014.0,49295.0,3.0,7,1.0,Gasoline,Rear-wheel Drive,1.5,1.0,0.0,0.0,1.0,1.0,6.0,Black,Basalt Black Metallic,33942
Lexus,RX 350L Premium,2019.0,35187.0,3.5,8,1.0,Gasoline,Front-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,10.0,Black,Black,38496
Volvo,S60 T6 Momentum,2019.0,35584.0,2.0,8,1.0,Gasoline,Four-wheel Drive,5.5,0.0,1.0,1.0,0.0,1.0,11.0,Charcoal,Birch Light Metallic,27590
Audi,Q3 45 S line Premium,2023.0,1692.0,2.0,7,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,1.0,1.0,1.0,7.0,Black,Mythos Black Metallic,46499
Lexus,RX 450h Base,2020.0,39805.0,3.5,CVT,1.0,Hybrid,Four-wheel Drive,4.5,0.0,1.0,0.0,0.0,1.0,8.0,Parchment,White,49747
Jeep,Grand Cherokee Altitude,2015.0,101938.0,3.6,8,1.0,Flex Fuel,Four-wheel Drive,4.0,0.0,0.0,1.0,0.0,1.0,6.0,Black,Brilliant Black Crystal Pearlcoat,19422
Jaguar,XE 25t R-Sport,2018.0,35312.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,2.5,0.0,1.0,0.0,1.0,1.0,9.0,Ebony / Pimento Red / Ebony,Fuji White,26895
Jaguar,F-PACE S,2021.0,14881.0,3.0,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,9.0,Ebony,Eiger Grey,52988
Volvo,XC40 B5 Plus Bright Theme,2023.0,4791.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,4.5,0.0,1.0,1.0,1.0,1.0,10.0,Unknown,Silver,39867
Cadillac,CTS-V Base,2019.0,29638.0,6.2,8,1.0,Gasoline,Rear-wheel Drive,3.5,0.0,0.0,1.0,0.0,1.0,8.0,Jet Black,Black Raven,76995
Jaguar,F-PACE S,2018.0,70822.0,3.0,8,1.0,Gasoline,Four-wheel Drive,4.5,1.0,0.0,1.0,0.0,1.0,10.0,Ebony,Santorini Black,30000
Mazda,CX-30 Turbo,2021.0,17309.0,2.5,6,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,1.0,1.0,1.0,11.0,Black,Sonic Silver Metallic,28806
Lexus,UX 250h F Sport,2021.0,24696.0,2.0,CVT,1.0,Hybrid,Four-wheel Drive,1.5,0.0,1.0,1.0,0.0,1.0,9.0,Red,Obsidian Black,37571
Mitsubishi,Outlander Sport ES,2017.0,56200.0,2.0,Automatic,1.0,Gasoline,Front-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,3.0,Black,Blue,18998
